accx,accy,accz
0.1586,-0.7467,-0.4194
0.1758,-0.7486,-0.4165
0.2031,-0.8048,-0.4223
0.2188,-0.945,-0.4683
0.2149,-1.0252,-0.4839
0.1992,-0.9905,-0.4443
0.2007,-0.9343,-0.4101
0.1782,-0.8649,-0.3882
0.187,-0.8561,-0.3677
0.1416,-0.8229,-0.3075
0.0581,-0.7613,-0.3456
0.1675,-0.8732,-0.4693
0.2144,-0.8864,-0.482
0.187,-0.8644,-0.4394
0.1865,-0.8791,-0.375
0.1738,-0.8517,-0.3935
0.2412,-0.9245,-0.5059
0.3365,-0.9113,-0.5523
0.2677,-0.7824,-0.4791
0.1812,-0.7814,-0.4854
